"creditcardid","cardtype"
18310,SuperiorCard
10506,Vista
13852,Distinguish
1363,ColonialVoice
7072,SuperiorCard
18998,Vista
13518,ColonialVoice
7726,SuperiorCard
17981,Distinguish
5489,ColonialVoice
1100,Vista
11558,SuperiorCard
7320,ColonialVoice
4393,Distinguish
242,SuperiorCard
14967,ColonialVoice
2772,SuperiorCard
1145,SuperiorCard
8833,Distinguish
14580,ColonialVoice
12328,Distinguish
7508,Vista
72,Distinguish
4499,ColonialVoice
2945,Vista
15340,Vista
19047,Vista
18002,SuperiorCard
12254,Vista
3193,SuperiorCard
747,Vista
13810,Vista
8777,Distinguish
9991,Distinguish
1850,ColonialVoice
16036,Distinguish
6483,Vista
7549,Distinguish
7854,ColonialVoice
6407,Vista
18300,SuperiorCard
4069,Vista
3325,Distinguish
7648,Vista
18450,Distinguish
5448,Distinguish
8995,SuperiorCard
6784,Vista
14945,Distinguish
2524,Vista
7204,ColonialVoice
4941,ColonialVoice
9219,ColonialVoice
16595,ColonialVoice
10659,Vista
9478,Vista
4862,Distinguish
16917,Distinguish
8341,Vista
17545,SuperiorCard
15107,Distinguish
4490,Vista
980,Distinguish
14819,SuperiorCard
8263,ColonialVoice
16387,ColonialVoice
7687,SuperiorCard
456,Distinguish
4858,Distinguish
14809,Distinguish
3634,Vista
2053,SuperiorCard
17079,Vista
16596,SuperiorCard
4859,ColonialVoice
17430,Vista
1023,ColonialVoice
18517,SuperiorCard
4597,SuperiorCard
12314,SuperiorCard
12011,Distinguish
3660,Distinguish
2105,Distinguish
5892,Distinguish
7626,Distinguish
14874,SuperiorCard
16579,SuperiorCard
9238,SuperiorCard
9498,Vista
16764,Distinguish
13286,Vista
16272,SuperiorCard
2792,Distinguish
16884,Vista
1214,Distinguish
12883,SuperiorCard
11110,ColonialVoice
10024,ColonialVoice
18729,Distinguish
18309,ColonialVoice
4713,Distinguish
11529,SuperiorCard
8444,Vista
7628,Distinguish
295,SuperiorCard
8579,SuperiorCard
12780,Distinguish
7704,Distinguish
12787,SuperiorCard
11784,Distinguish
13853,Distinguish
15624,ColonialVoice
15609,SuperiorCard
14446,Vista
79,Vista
7493,ColonialVoice
16932,Distinguish
1405,SuperiorCard
2907,ColonialVoice
5943,SuperiorCard
9272,Vista
16065,Distinguish
6977,Distinguish
15816,Vista
18409,Distinguish
17942,Distinguish
16342,ColonialVoice
9633,Vista
10839,ColonialVoice
499,Distinguish
2987,Vista
11581,ColonialVoice
10158,ColonialVoice
6823,SuperiorCard
7274,Vista
4102,ColonialVoice
14888,ColonialVoice
11064,Vista
13148,Vista
6682,SuperiorCard
19161,SuperiorCard
4723,Distinguish
8850,ColonialVoice
14423,SuperiorCard
5247,Vista
3828,SuperiorCard
5927,SuperiorCard
9581,Vista
19186,SuperiorCard
3565,ColonialVoice
3367,Distinguish
249,SuperiorCard
16816,Vista
17250,Vista
414,Distinguish
6427,SuperiorCard
11314,ColonialVoice
13248,Distinguish
5111,Distinguish
7481,Distinguish
15446,Distinguish
812,Vista
17974,ColonialVoice
6782,Distinguish
11176,Vista
6165,Vista
6844,SuperiorCard
13962,Distinguish
17469,SuperiorCard
14067,Distinguish
9513,Vista
6641,Vista
2497,Distinguish
3737,Vista
6989,Vista
7480,ColonialVoice
3124,SuperiorCard
16038,ColonialVoice
9808,SuperiorCard
14074,ColonialVoice
2191,SuperiorCard
4267,ColonialVoice
16718,ColonialVoice
12788,ColonialVoice
7751,Distinguish
598,ColonialVoice
3825,Distinguish
16834,Vista
8726,Distinguish
16343,Distinguish
15727,Vista
4247,SuperiorCard
6517,Vista
17923,Vista
3297,Distinguish
3576,ColonialVoice
2426,ColonialVoice
3769,Distinguish
2846,ColonialVoice
12104,Vista
8649,Distinguish
18239,ColonialVoice
8387,Distinguish
9155,Distinguish
3,ColonialVoice
7146,SuperiorCard
8820,SuperiorCard
15190,Distinguish
8051,ColonialVoice
16868,ColonialVoice
2712,ColonialVoice
6707,Vista
15949,SuperiorCard
18098,Distinguish
8274,ColonialVoice
7670,SuperiorCard
3779,Distinguish
12467,Vista
2482,ColonialVoice
5776,Vista
17347,Distinguish
18969,Distinguish
5098,SuperiorCard
8062,SuperiorCard
8490,Distinguish
15667,SuperiorCard
17668,Distinguish
14535,SuperiorCard
2136,Distinguish
1494,Distinguish
4056,SuperiorCard
16667,SuperiorCard
12379,Vista
2261,ColonialVoice
11005,ColonialVoice
7042,SuperiorCard
12914,ColonialVoice
3432,ColonialVoice
17990,SuperiorCard
5497,Vista
9708,ColonialVoice
17844,ColonialVoice
16104,Distinguish
4243,Vista
12398,SuperiorCard
14313,Vista
2409,ColonialVoice
12369,Distinguish
2137,SuperiorCard
17194,Distinguish
9254,ColonialVoice
3255,Distinguish
5037,ColonialVoice
17925,SuperiorCard
9327,ColonialVoice
17734,SuperiorCard
18519,Distinguish
3162,Distinguish
10331,Vista
6701,SuperiorCard
13155,ColonialVoice
6159,SuperiorCard
6151,SuperiorCard
13731,Vista
2015,Distinguish
12058,Vista
10381,Vista
13657,ColonialVoice
15145,Vista
4353,SuperiorCard
16227,Distinguish
18689,Vista
449,SuperiorCard
12312,Vista
442,Vista
12128,SuperiorCard
2355,ColonialVoice
14515,SuperiorCard
5178,Vista
9995,ColonialVoice
123,Distinguish
4982,ColonialVoice
17857,ColonialVoice
16547,Vista
10456,ColonialVoice
12606,Vista
1348,Distinguish
14719,Vista
2205,SuperiorCard
8482,Distinguish
19058,Distinguish
14435,ColonialVoice
6305,SuperiorCard
17578,Distinguish
17094,Vista
18042,Distinguish
17541,SuperiorCard
17801,Distinguish
7144,SuperiorCard
4770,ColonialVoice
7743,Distinguish
1988,Distinguish
8712,ColonialVoice
16806,SuperiorCard
5779,Vista
4413,SuperiorCard
13904,SuperiorCard
18996,SuperiorCard
1913,Distinguish
13652,SuperiorCard
14272,SuperiorCard
10981,Vista
9542,Distinguish
7680,ColonialVoice
9678,ColonialVoice
214,SuperiorCard
2592,Distinguish
42,Distinguish
13999,ColonialVoice
7363,Distinguish
5358,SuperiorCard
8651,Vista
18977,SuperiorCard
15179,Distinguish
10019,Vista
14976,Distinguish
5218,ColonialVoice
17554,SuperiorCard
16533,Distinguish
14461,Vista
1760,SuperiorCard
10691,Vista
12985,Vista
17789,SuperiorCard
2421,SuperiorCard
9713,ColonialVoice
4066,SuperiorCard
4952,Vista
8427,SuperiorCard
5227,ColonialVoice
9843,Vista
4390,SuperiorCard
14296,Distinguish
9943,Vista
6503,Distinguish
4207,Vista
13670,ColonialVoice
2000,ColonialVoice
18259,ColonialVoice
18482,Vista
17646,Distinguish
5771,Distinguish
12938,ColonialVoice
3064,Vista
16487,Distinguish
15182,ColonialVoice
12241,SuperiorCard
10913,Distinguish
3062,Distinguish
7268,Vista
2474,ColonialVoice
2410,Distinguish
623,Vista
6990,Vista
16728,ColonialVoice
13373,Vista
7418,SuperiorCard
18548,SuperiorCard
9901,SuperiorCard
2766,Distinguish
17472,Distinguish
6882,Vista
15927,ColonialVoice
3248,Distinguish
7289,Distinguish
16466,Vista
12304,ColonialVoice
1445,SuperiorCard
15853,Distinguish
10544,SuperiorCard
10311,ColonialVoice
11973,ColonialVoice
12427,Vista
15977,Vista
14734,Vista
2822,Vista
4215,SuperiorCard
2390,SuperiorCard
11615,Vista
15794,Vista
5975,ColonialVoice
8881,SuperiorCard
9083,Vista
3904,SuperiorCard
18714,Distinguish
6962,ColonialVoice
8129,Vista
5006,Vista
9393,ColonialVoice
12986,Vista
17856,Vista
15568,Vista
19037,Distinguish
7605,Distinguish
2595,ColonialVoice
18159,Distinguish
13806,SuperiorCard
4086,SuperiorCard
15060,Distinguish
12756,Vista
13486,Vista
7027,ColonialVoice
418,ColonialVoice
19071,Distinguish
13123,Distinguish
14847,SuperiorCard
2296,SuperiorCard
13266,Vista
18974,ColonialVoice
18133,Vista
13205,ColonialVoice
18070,ColonialVoice
18092,Distinguish
17553,ColonialVoice
7284,SuperiorCard
18540,Distinguish
1757,Distinguish
5307,Vista
13947,Distinguish
4518,Vista
16574,ColonialVoice
14309,Distinguish
16187,SuperiorCard
9597,Vista
17536,Vista
14972,ColonialVoice
1122,ColonialVoice
8383,Distinguish
17460,SuperiorCard
14949,SuperiorCard
9270,Distinguish
18229,SuperiorCard
3844,Distinguish
10279,SuperiorCard
17089,ColonialVoice
17791,Distinguish
11509,ColonialVoice
16498,ColonialVoice
13632,Vista
13664,Distinguish
10077,Vista
14472,Distinguish
14052,Distinguish
1099,ColonialVoice
11050,Distinguish
4274,ColonialVoice
11590,Distinguish
17798,SuperiorCard
8098,SuperiorCard
16956,Distinguish
18299,Distinguish
6786,SuperiorCard
1841,SuperiorCard
875,Distinguish
7035,Distinguish
823,Vista
8442,Vista
2920,SuperiorCard
2186,Distinguish
13203,Distinguish
9212,Vista
5002,SuperiorCard
11044,SuperiorCard
12959,SuperiorCard
14365,Distinguish
12046,Distinguish
8837,Vista
15681,Vista
4021,Distinguish
11661,Vista
10929,SuperiorCard
15482,ColonialVoice
4672,Distinguish
3480,Vista
14327,SuperiorCard
11899,Vista
11744,Vista
13603,Distinguish
2066,SuperiorCard
16822,SuperiorCard
2736,SuperiorCard
10606,Vista
10782,SuperiorCard
18080,SuperiorCard
16575,ColonialVoice
9891,ColonialVoice
18246,ColonialVoice
6696,SuperiorCard
10949,SuperiorCard
6774,Distinguish
14498,Distinguish
8222,Vista
13618,Distinguish
3575,Distinguish
11434,SuperiorCard
10791,Vista
509,Distinguish
11870,SuperiorCard
6382,Distinguish
6619,SuperiorCard
14369,Vista
8417,Vista
7544,SuperiorCard
15226,ColonialVoice
9115,Distinguish
7785,Distinguish
2902,Vista
429,Vista
2357,ColonialVoice
2241,Vista
19134,ColonialVoice
18902,ColonialVoice
10443,Distinguish
16232,Distinguish
12789,SuperiorCard
15642,Vista
15627,Distinguish
4142,ColonialVoice
14612,ColonialVoice
5009,Distinguish
7420,ColonialVoice
3671,Vista
15945,Distinguish
14473,SuperiorCard
5993,SuperiorCard
7832,Distinguish
6773,Distinguish
12975,ColonialVoice
2904,ColonialVoice
3164,ColonialVoice
2961,Vista
11817,Vista
12495,Distinguish
2672,Distinguish
7656,ColonialVoice
16208,Distinguish
19081,ColonialVoice
6536,SuperiorCard
10191,SuperiorCard
15480,ColonialVoice
13890,ColonialVoice
6499,Distinguish
12353,Vista
7715,SuperiorCard
2815,Distinguish
15366,SuperiorCard
8843,ColonialVoice
12906,SuperiorCard
2231,ColonialVoice
17243,SuperiorCard
944,ColonialVoice
11479,Distinguish
18716,Distinguish
7807,Vista
9122,Distinguish
1313,SuperiorCard
14144,ColonialVoice
480,Distinguish
9079,Vista
16652,Vista
7188,SuperiorCard
375,Distinguish
3983,SuperiorCard
4466,ColonialVoice
18894,Vista
14696,Distinguish
10095,Vista
15275,Distinguish
7721,Distinguish
15580,Vista
4074,Distinguish
16349,ColonialVoice
11244,SuperiorCard
3546,Distinguish
10911,ColonialVoice
7096,ColonialVoice
16604,Vista
12383,Vista
13868,Distinguish
10647,SuperiorCard
8906,Vista
8521,SuperiorCard
6533,Vista
12198,Distinguish
6090,ColonialVoice
6848,SuperiorCard
6993,ColonialVoice
1068,SuperiorCard
4698,ColonialVoice
10391,Vista
2583,SuperiorCard
15333,Distinguish
101,ColonialVoice
12149,ColonialVoice
11507,Distinguish
1839,Distinguish
7449,Distinguish
8708,ColonialVoice
10176,SuperiorCard
1722,Distinguish
7663,Distinguish
6388,SuperiorCard
6555,ColonialVoice
12362,ColonialVoice
12272,Vista
6523,ColonialVoice
3349,Distinguish
1955,ColonialVoice
6618,Vista
17910,ColonialVoice
2985,SuperiorCard
14371,Vista
7046,ColonialVoice
9161,Vista
7234,Vista
5180,Distinguish
2925,Vista
5896,Distinguish
3439,ColonialVoice
8475,Distinguish
9772,ColonialVoice
674,Distinguish
14730,Vista
8897,ColonialVoice
5534,Distinguish
11704,Distinguish
14443,SuperiorCard
7180,Vista
12564,ColonialVoice
15435,SuperiorCard
16611,Distinguish
14693,Vista
7836,ColonialVoice
11785,SuperiorCard
3407,Distinguish
5053,Vista
14407,ColonialVoice
14007,ColonialVoice
17219,Distinguish
17415,Vista
10730,Distinguish
12680,Distinguish
4428,Vista
18242,SuperiorCard
8510,Distinguish
10942,Distinguish
655,Vista
6660,ColonialVoice
14751,Distinguish
7593,Distinguish
11676,SuperiorCard
5615,Distinguish
18017,Vista
13330,Vista
2164,SuperiorCard
7682,ColonialVoice
185,Distinguish
5884,Vista
2802,ColonialVoice
9464,Vista
8120,ColonialVoice
13548,Vista
6092,SuperiorCard
1171,Distinguish
6070,ColonialVoice
3267,Vista
3834,ColonialVoice
3453,Distinguish
12910,SuperiorCard
11273,SuperiorCard
5225,Vista
12049,Vista
6980,Distinguish
15783,Vista
13250,ColonialVoice
11459,Distinguish
9691,Distinguish
17235,Vista
11480,ColonialVoice
11082,ColonialVoice
18107,Distinguish
17035,Vista
10423,Vista
14065,Distinguish
16509,SuperiorCard
13128,Vista
15357,ColonialVoice
8896,Distinguish
8295,ColonialVoice
15335,Vista
12885,ColonialVoice
3452,Distinguish
7787,Distinguish
6562,SuperiorCard
679,Distinguish
3978,Distinguish
15397,SuperiorCard
1647,SuperiorCard
18150,Distinguish
5526,Vista
12021,Distinguish
8483,Distinguish
5254,SuperiorCard
12678,SuperiorCard
17583,Distinguish
5704,Distinguish
16243,Distinguish
18868,Vista
18598,Vista
1986,ColonialVoice
16136,SuperiorCard
7537,Vista
8480,SuperiorCard
80,ColonialVoice
16457,Vista
14905,ColonialVoice
17934,SuperiorCard
6484,SuperiorCard
6204,Vista
7026,ColonialVoice
9720,SuperiorCard
7996,Vista
5730,ColonialVoice
16999,SuperiorCard
15700,Distinguish
11525,Vista
6249,Vista
8591,Distinguish
962,ColonialVoice
889,ColonialVoice
9669,SuperiorCard
1227,Vista
5087,SuperiorCard
5928,Distinguish
3268,ColonialVoice
8401,Distinguish
15037,Distinguish
5502,ColonialVoice
1542,Vista
13007,SuperiorCard
10557,SuperiorCard
5640,Vista
18018,SuperiorCard
16221,Distinguish
6767,ColonialVoice
2329,Vista
17150,Distinguish
2843,ColonialVoice
1995,Distinguish
16525,Vista
18585,Vista
8991,ColonialVoice
17531,Distinguish
15603,ColonialVoice
13568,Distinguish
3724,ColonialVoice
14241,Distinguish
2298,ColonialVoice
8638,SuperiorCard
17018,Vista
7437,ColonialVoice
17427,ColonialVoice
8826,ColonialVoice
17823,Distinguish
15912,ColonialVoice
18861,Distinguish
2581,ColonialVoice
3767,Distinguish
9060,ColonialVoice
3817,Distinguish
5258,SuperiorCard
11415,Vista
12457,Distinguish
13511,ColonialVoice
9235,Vista
4439,Vista
8021,ColonialVoice
15855,SuperiorCard
10349,Vista
2235,Distinguish
5929,Vista
997,SuperiorCard
16478,Vista
18801,SuperiorCard
14906,SuperiorCard
17189,SuperiorCard
6881,Distinguish
6058,Distinguish
18407,SuperiorCard
11795,ColonialVoice
3776,ColonialVoice
8603,ColonialVoice
10803,ColonialVoice
13157,ColonialVoice
6181,Distinguish
19147,Vista
8608,Vista
14019,Vista
17700,Distinguish
15092,ColonialVoice
1507,Distinguish
4910,ColonialVoice
2487,SuperiorCard
10916,SuperiorCard
13875,Vista
16531,SuperiorCard
610,Vista
11444,ColonialVoice
2667,ColonialVoice
9825,Distinguish
14745,Distinguish
4443,ColonialVoice
8958,Distinguish
6688,ColonialVoice
9383,Distinguish
4007,ColonialVoice
5175,Vista
8571,SuperiorCard
4282,ColonialVoice
9585,SuperiorCard
13931,Vista
4840,Distinguish
10747,SuperiorCard
1919,Vista
14376,ColonialVoice
2127,ColonialVoice
6399,Vista
7058,SuperiorCard
12692,Distinguish
2849,Vista
2769,SuperiorCard
6466,SuperiorCard
8380,Distinguish
7707,Distinguish
4538,SuperiorCard
12822,SuperiorCard
2337,Vista
6811,Vista
1454,Vista
2171,Vista
18758,Distinguish
8866,Distinguish
508,Vista
17843,Distinguish
6697,SuperiorCard
11864,SuperiorCard
12260,SuperiorCard
9842,Vista
4526,SuperiorCard
8404,SuperiorCard
1689,ColonialVoice
10847,Vista
8373,ColonialVoice
11907,Vista
12418,SuperiorCard
8013,SuperiorCard
7752,Vista
1506,Distinguish
6025,Vista
16353,ColonialVoice
8561,ColonialVoice
1704,SuperiorCard
7697,ColonialVoice
9388,ColonialVoice
3046,ColonialVoice
7506,Distinguish
16590,SuperiorCard
14291,SuperiorCard
13081,ColonialVoice
13988,Vista
18690,ColonialVoice
11622,ColonialVoice
7002,ColonialVoice
3628,SuperiorCard
10638,SuperiorCard
1896,SuperiorCard
15153,Distinguish
5294,ColonialVoice
1521,Vista
16223,Vista
5743,SuperiorCard
3301,SuperiorCard
12064,ColonialVoice
4965,Vista
16474,Vista
10834,Distinguish
11904,ColonialVoice
7225,Vista
18797,Vista
15562,Distinguish
12458,Vista
16381,ColonialVoice
8719,SuperiorCard
17451,ColonialVoice
16249,Vista
13995,ColonialVoice
1844,SuperiorCard
1892,SuperiorCard
12009,Distinguish
15029,SuperiorCard
302,SuperiorCard
11701,ColonialVoice
2526,SuperiorCard
11153,SuperiorCard
13147,Vista
15745,ColonialVoice
2080,Vista
1611,Vista
17037,Vista
17264,Distinguish
9453,SuperiorCard
4252,SuperiorCard
15200,Distinguish
9081,Vista
8877,SuperiorCard
9165,Distinguish
6221,Distinguish
18949,Vista
2301,ColonialVoice
7510,Vista
6168,SuperiorCard
17576,SuperiorCard
17145,SuperiorCard
3217,Vista
9248,SuperiorCard
13380,ColonialVoice
5736,Vista
6542,Distinguish
10995,Distinguish
15337,Distinguish
1501,Distinguish
18276,Vista
7090,Vista
8359,SuperiorCard
530,Distinguish
16843,Distinguish
3489,Vista
4637,Vista
4431,Vista
2030,Distinguish
2108,ColonialVoice
4263,SuperiorCard
9461,Distinguish
12173,SuperiorCard
271,ColonialVoice
13581,Distinguish
6144,SuperiorCard
2200,ColonialVoice
15967,ColonialVoice
12818,Vista
3577,ColonialVoice
8077,Vista
10805,Distinguish
1816,SuperiorCard
18772,Distinguish
15963,Vista
7732,Vista
10996,Vista
16720,Vista
8112,Vista
14180,Vista
19069,SuperiorCard
114,SuperiorCard
4107,Vista
7358,Vista
17268,Distinguish
15820,ColonialVoice
10878,ColonialVoice
12844,SuperiorCard
18924,Distinguish
18280,Vista
17016,SuperiorCard
16710,Distinguish
7391,ColonialVoice
14399,ColonialVoice
16622,Distinguish
9349,SuperiorCard
5204,ColonialVoice
16257,Distinguish
19180,Vista
1699,Distinguish
4114,Vista
8644,ColonialVoice
11745,Vista
9621,SuperiorCard
2008,Distinguish
16344,Vista
6227,Vista
4364,ColonialVoice
18836,Vista
4800,SuperiorCard
2268,Distinguish
10286,SuperiorCard
14060,SuperiorCard
1207,Vista
2539,SuperiorCard
11253,SuperiorCard
1958,Distinguish
7020,ColonialVoice
19011,SuperiorCard
12258,Vista
13917,SuperiorCard
19082,ColonialVoice
13267,Vista
11541,ColonialVoice
3024,SuperiorCard
16452,Distinguish
37,Distinguish
10353,ColonialVoice
18353,Distinguish
6329,SuperiorCard
2513,SuperiorCard
3236,Vista
890,ColonialVoice
11718,Vista
11379,SuperiorCard
6808,Distinguish
14222,ColonialVoice
4145,SuperiorCard
8511,SuperiorCard
5400,SuperiorCard
12062,Distinguish
9035,ColonialVoice
17486,Distinguish
14737,Vista
8336,Vista
16027,ColonialVoice
5171,SuperiorCard
8722,ColonialVoice
15690,SuperiorCard
17632,SuperiorCard
9199,Distinguish
2930,Vista
17455,SuperiorCard
13858,SuperiorCard
4048,ColonialVoice
1783,ColonialVoice
8863,SuperiorCard
10105,ColonialVoice
17335,Vista
4740,Vista
5923,Distinguish
16916,ColonialVoice
18937,SuperiorCard
5105,SuperiorCard
15472,Vista
9322,SuperiorCard
18308,SuperiorCard
17751,ColonialVoice
7137,ColonialVoice
5770,Distinguish
16644,SuperiorCard
5153,Distinguish
17950,SuperiorCard
15649,Vista
9717,Distinguish
4281,SuperiorCard
4813,Vista
5364,Vista
11116,Distinguish
2977,Distinguish
17704,ColonialVoice
9138,SuperiorCard
15797,Vista
13963,ColonialVoice
15881,ColonialVoice
17924,ColonialVoice
15801,ColonialVoice
18387,ColonialVoice
15476,Vista
2571,Vista
17511,SuperiorCard
8180,ColonialVoice
14859,Distinguish
16532,Distinguish
6917,ColonialVoice
1179,Vista
12555,Vista
16334,ColonialVoice
2657,Distinguish
10602,Vista
9310,ColonialVoice
5977,ColonialVoice
2590,ColonialVoice
17355,Distinguish
12115,Distinguish
6891,ColonialVoice
3704,ColonialVoice
12322,Distinguish
5905,ColonialVoice
15989,Distinguish
6538,ColonialVoice
14384,Vista
2212,SuperiorCard
1987,Vista
15833,SuperiorCard
8233,Distinguish
6421,ColonialVoice
16084,SuperiorCard
2753,Vista
7583,Vista
15444,ColonialVoice
6756,ColonialVoice
15467,Distinguish
11833,Vista
17154,Vista
4664,SuperiorCard
11312,Distinguish
256,Vista
13344,Distinguish
16177,ColonialVoice
14533,Distinguish
3095,Distinguish
1983,ColonialVoice
12081,SuperiorCard
13879,Distinguish
12057,ColonialVoice
14383,ColonialVoice
1586,Distinguish
15392,SuperiorCard
19044,Distinguish
3080,Distinguish
17892,Distinguish
9987,SuperiorCard
4645,Distinguish
8411,ColonialVoice
8823,Vista
8252,Distinguish
4155,Vista
17862,SuperiorCard
4128,Distinguish
437,Vista
10264,Distinguish
11427,ColonialVoice
11741,SuperiorCard
12504,Distinguish
12378,SuperiorCard
14947,SuperiorCard
13873,Distinguish
17746,Distinguish
13867,SuperiorCard
10021,SuperiorCard
